pred_activity,smiles
7.9635918979297635,COc1ccc(CNC(=O)c2nccnc2N)cc1
7.9628466392882755,Cc1ccc(C(=O)N[C@H]2CCS(=O)(=O)C2)cc1
7.958103287799063,NC(=O)CNS(=O)(=O)c1cccc(Br)c1
7.954451335509057,O=C(COC(=O)c1ccccc1O)NC[C@H]1CCCO1
7.951624816005808,O=C(O)C[S@@](=O)CC(=O)NCc1ccc(F)cc1
7.948921534963022,O=C(O)[C@H](O)[C@](O)(c1ccccc1)C(F)(F)F
7.940525490377707,CNS(=O)(=O)c1cc(C(=O)NCc2cccnc2)co1
7.940489895032866,COc1ccc(C(=O)N[C@H]2CO[C@@H]3[C@@H](O)CO[C@H]23)c(C)c1
7.93694288975119,CC(C)NC(=O)CNC(=O)c1n[nH]c(=O)c2ccccc12
7.93659436962096,COc1ccc(CCC(=O)N[C@@H]2CCOC[C@H]2O)cc1
7.9326270729213935,Cc1ccc(Br)c(S(=O)(=O)NCCN)c1
7.932603597927308,COc1ccc(N[C@@H]2CS(=O)(=O)C[C@H]2O)cc1
7.9301458119424595,Cc1cc(C)nc(CCNC(=O)c2cccc(=O)[nH]2)n1
7.921470056843255,CO[C@H]1COC[C@@H]1NC(=O)COCc1ccccc1
7.919048356522979,O=C(C[C@H]1CCS(=O)(=O)C1)Nc1ncccc1O
7.918682383326987,O=C1C[C@@H](N(C(=O)Cc2cccs2)C2CC2)C(=O)N1
7.917643318036507,COc1ccc(CC[n+]2cc(=N)o[nH]2)cc1OC
7.9152527201066745,CN(C(=O)c1n[nH]c2ccccc12)[C@@H]1CCS(=O)(=O)C1
7.914552211528932,Cc1cccc(NC(=O)CCNC(=O)[C@H]2COCCO2)c1
7.909312030464613,CNC(=O)NCCNC(=O)c1cccc(C)c1O
7.906133914150326,NC(=O)COc1ccc(NC(=O)c2cccc[n+]2[O-])cc1
7.903553666186905,COCc1cccc(CNC(=O)[C@@H]2C[C@@H]3OCC[C@@H]3N2)c1
7.903445269140331,CSCCC(=O)NS(=O)(=O)Cc1ccccn1
7.902464672644051,COc1ccc2c(c1)OC[C@H](CNC(=O)CO)C2
7.901948308762707,CC(C)C[C@H](N)C1(O)C[C@@H]2CC[C@H](C1)S2(=O)=O
7.898577472521137,Cc1ccc(C(=O)NCCNC(=O)c2nonc2N)cc1
7.895873756107472,CCNC(=O)COC(=O)c1cc(OC)ccc1O
7.895623337202313,CC(=O)NCCNC(=O)c1ccc(CN(C)C)cc1
7.895452807995597,CCNC(=O)C(=O)NCC(=O)Nc1cccc(C)c1C
7.894758793420311,C[C@H](c1cccc(F)c1)N(CC(N)=O)CC(N)=O
